titulo;empresa;localizacion;jornada;contrato;salario
 Asistente administración; ALBYSTORE; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
Masoterapeuta;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 profesor hipnosis;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Medico esteticista;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Enfermera o en enfermero docente;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Cosmetólogo/a;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Médico Veterinario;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Ingeniero en Software, licenciados en informática;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Ingeniero o Licenciado en Administración de Empresas;" Centro de capacitación continua ""PRAXIS"""; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Auxiliar de servicio; Friomix Ecuador S.A.; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 506,00 US$ 
 Técnico Refrigeración; Friomix Ecuador S.A.; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 562,00 US$ 
 Vendedor de Cobertura Productos de Fiesta Globos; INDUSTRIA ALIMENTICIA THAGON S A THAGONSA S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo Comercial Broker de Seguros Corporativos; INDUSTRIA ALIMENTICIA THAGON S A THAGONSA S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Gerencia deCompras e Importaciones; INDUSTRIA ALIMENTICIA THAGON S A THAGONSA S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 650,00 US$ 
 Asesor Comercial; .Multibilingue Ecuador; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 850,00 US$ 
 Asistente Contable y de Auditoria; Abalt Auditores y Consultores; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asistente administrativa financiera; Abalt Auditores y Consultores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auditor JR de Sistemas; Abalt Auditores y Consultores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Supervisor Call Center Ventas; Abiatar; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedor telefónico; Abiatar; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesor Comercial; Abiatar; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 400,00 US$ 
 Ventas Call Center; Abiatar; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Vendedor Call center; Abiatar; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial Telefónico; Abiatar; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 396,00 US$ 
 Asesor Tarjetas de Crédito.; Abiatar; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
